permutation_index,master_seed,permutation_eligible_identities,structurally_fixed_identities,actually_reassigned_identities,all_2300_destination_rows_filled_once,all_2300_source_rows_used_once,category_preserved,block_size_preserved,singleton_strata_fixed,macro_f1_L,macro_f1_L_plus_G_permuted,delta_G_given_L,balanced_accuracy_L,balanced_accuracy_L_plus_G_permuted,delta_balanced_accuracy,max_iterations_L_plus_G,converged_L_plus_G
111,20260822,228,2,196,True,True,True,True,True,0.7380200305882273,0.7569794082318001,0.018959377643572806,0.7417391304347827,0.7608695652173914,0.019130434782608674,37,True
112,20260822,228,2,193,True,True,True,True,True,0.7380200305882273,0.7526588475533025,0.014638816965075185,0.7417391304347827,0.7565217391304349,0.014782608695652177,34,True
113,20260822,228,2,210,True,True,True,True,True,0.7380200305882273,0.755811765437116,0.01779173484888874,0.7417391304347827,0.76,0.01826086956521733,34,True
114,20260822,228,2,210,True,True,True,True,True,0.7380200305882273,0.7597588937905707,0.021738863202343417,0.7417391304347827,0.7639130434782608,0.022173913043478155,34,True
115,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7576940867950348,0.01967405620680751,0.7417391304347827,0.7608695652173914,0.019130434782608674,36,True
116,20260822,228,2,203,True,True,True,True,True,0.7380200305882273,0.7503291123294406,0.012309081741213257,0.7417391304347827,0.7539130434782607,0.012173913043478035,35,True
117,20260822,228,2,193,True,True,True,True,True,0.7380200305882273,0.7503877672714,0.012367736683172703,0.7417391304347827,0.7539130434782608,0.012173913043478146,37,True
118,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7470286410369842,0.009008610448756893,0.7417391304347827,0.7508695652173915,0.009130434782608776,36,True
119,20260822,228,2,202,True,True,True,True,True,0.7380200305882273,0.7476910194848279,0.009670988896600563,0.7417391304347827,0.751304347826087,0.009565217391304337,38,True
120,20260822,228,2,210,True,True,True,True,True,0.7380200305882273,0.7590138151041788,0.020993784515951464,0.7417391304347827,0.7626086956521739,0.02086956521739125,36,True
121,20260822,228,2,199,True,True,True,True,True,0.7380200305882273,0.759188120066436,0.021168089478208696,0.7417391304347827,0.7626086956521739,0.02086956521739125,34,True
122,20260822,228,2,203,True,True,True,True,True,0.7380200305882273,0.7484147679786659,0.010394737390438613,0.7417391304347827,0.7517391304347827,0.010000000000000009,31,True
123,20260822,228,2,201,True,True,True,True,True,0.7380200305882273,0.7505820807049832,0.01256205011675593,0.7417391304347827,0.7534782608695652,0.011739130434782474,35,True
124,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7535704477989407,0.015550417210713374,0.7417391304347827,0.7573913043478262,0.01565217391304352,38,True
125,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7560004761373981,0.017980445549170776,0.7417391304347827,0.7595652173913043,0.01782608695652166,37,True
126,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7566562136206393,0.01863618303241199,0.7417391304347827,0.7604347826086958,0.018695652173913113,32,True
127,20260822,228,2,199,True,True,True,True,True,0.7380200305882273,0.7514816960684318,0.013461665480204554,0.7417391304347827,0.7556521739130434,0.013913043478260723,37,True
128,20260822,228,2,211,True,True,True,True,True,0.7380200305882273,0.7466373188103085,0.008617288222081187,0.7417391304347827,0.7508695652173912,0.009130434782608554,32,True
129,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7523137983918715,0.01429376780364422,0.7417391304347827,0.7560869565217393,0.014347826086956617,35,True
130,20260822,228,2,202,True,True,True,True,True,0.7380200305882273,0.7538653886441853,0.015845358055957992,0.7417391304347827,0.7578260869565218,0.016086956521739082,33,True
131,20260822,228,2,201,True,True,True,True,True,0.7380200305882273,0.7530509873476248,0.015030956759397474,0.7417391304347827,0.7569565217391304,0.015217391304347738,33,True
132,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7417991655360039,0.0037791349477765968,0.7417391304347827,0.7456521739130436,0.003913043478260936,34,True
133,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7494899478321255,0.011469917243898231,0.7417391304347827,0.753913043478261,0.012173913043478368,35,True
134,20260822,228,2,207,True,True,True,True,True,0.7380200305882273,0.7526177419038281,0.014597711315600836,0.7417391304347827,0.7560869565217393,0.014347826086956617,37,True
135,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7479088418466346,0.009888811258407348,0.7417391304347827,0.7513043478260869,0.009565217391304226,32,True
136,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7592111471768515,0.02119111658862416,0.7417391304347827,0.762608695652174,0.02086956521739136,36,True
137,20260822,228,2,210,True,True,True,True,True,0.7380200305882273,0.7462206877443462,0.008200657156118951,0.7417391304347827,0.7504347826086956,0.008695652173912882,34,True
138,20260822,228,2,210,True,True,True,True,True,0.7380200305882273,0.744965458679114,0.006945428090886718,0.7417391304347827,0.748695652173913,0.006956521739130306,34,True
139,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7471934957621352,0.009173465173907935,0.7417391304347827,0.7508695652173912,0.009130434782608554,34,True
140,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7544319857967953,0.016411955208567974,0.7417391304347827,0.7582608695652174,0.016521739130434754,34,True
141,20260822,228,2,210,True,True,True,True,True,0.7380200305882273,0.7531430135205638,0.015122982932336493,0.7417391304347827,0.7569565217391304,0.015217391304347738,41,True
142,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7503601191471326,0.012340088558905338,0.7417391304347827,0.7539130434782608,0.012173913043478146,39,True
143,20260822,228,2,209,True,True,True,True,True,0.7380200305882273,0.7604302615216554,0.022410230933428088,0.7417391304347827,0.7630434782608696,0.021304347826086922,34,True
144,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7533207933027343,0.015300762714506977,0.7417391304347827,0.7569565217391304,0.015217391304347738,35,True
