bootstrap_rep,n_rows,macro_f1_M,macro_f1_M_plus_G,delta_macro_f1_G_given_M,balanced_accuracy_M,balanced_accuracy_M_plus_G,delta_balanced_accuracy_G_given_M
771,2302,0.2778486928229895,0.3127515714281387,0.03490287860514918,0.278849104859335,0.3131713554987212,0.03432225063938621
772,2300,0.287898828497439,0.3065231981192101,0.01862436962177111,0.29086956521739127,0.3095652173913044,0.018695652173913113
773,2302,0.29580194854486375,0.3410459915352461,0.04524404299038237,0.29493606138107414,0.3409377664109123,0.046001705029838136
774,2299,0.3082085303003738,0.31244999528420614,0.0042414649838323215,0.31105841018884495,0.31239789196310935,0.001339481774264406
775,2298,0.28841354876998687,0.31396637519062215,0.025552826420635277,0.2881366459627329,0.3143123336291039,0.02617568766637096
776,2300,0.2757601170270162,0.3052607901154273,0.02950067308841109,0.2769565217391305,0.3065217391304348,0.0295652173913043
777,2301,0.2994451421935477,0.32250401052293387,0.023058868329386195,0.3015454154111064,0.3232414980628498,0.021696082651743387
778,2301,0.302410592473921,0.322038158036619,0.019627565562698013,0.3037408523461042,0.32329315540249676,0.01955230305639255
779,2298,0.28035218137642864,0.3098639163318319,0.029511734955403268,0.28244897959183674,0.30991126885536824,0.027462289263531503
780,2299,0.292619110915862,0.3199722153405341,0.027353104424672092,0.29752744839701356,0.3236275801493193,0.026100131752305744
781,2303,0.2749765995303505,0.3094178739113084,0.034441274380957954,0.2735204727733221,0.30651329674968336,0.032992823976361274
782,2300,0.30501279113194274,0.32142015213051106,0.01640736099856832,0.30521739130434783,0.3234782608695652,0.018260869565217386
783,2303,0.2808512862444214,0.30015515593334247,0.01930386968892106,0.2814098775854791,0.2978556352891516,0.016445757703672514
784,2301,0.2893321331342843,0.30240614806618366,0.013074014931899358,0.29111924235901854,0.3058717176065433,0.014752475247524766
785,2299,0.2832680435722871,0.31185444355829717,0.02858639998601009,0.28362758014931927,0.3114756258234519,0.027848045674132627
