bootstrap_rep,n_rows,macro_f1_L,macro_f1_L_plus_G,delta_macro_f1_G_given_L,balanced_accuracy_L,balanced_accuracy_L_plus_G,delta_balanced_accuracy_G_given_L
8788,2301,0.7277759930124418,0.7352856782898253,0.007509685277383493,0.7301721911321567,0.7371201033146793,0.006947912182522553
8789,2301,0.7299698549330763,0.7299186372118665,-5.12177212098619e-05,0.7375505811450711,0.7362419285406802,-0.0013086526043909474
8790,2298,0.7512132648109333,0.749775628748135,-0.001437636062798342,0.7554303460514639,0.7541259982253772,-0.0013043478260866825
8791,2300,0.7459388619992141,0.7531393007547528,0.007200438755538663,0.7517391304347826,0.7573913043478262,0.005652173913043623
8792,2300,0.7434995570085756,0.7420865769865215,-0.0014129800220541444,0.7456521739130436,0.7439130434782608,-0.0017391304347827985
8793,2299,0.7299603664524161,0.7337712989712565,0.0038109325188403487,0.735494071146245,0.7385375494071147,0.003043478260869703
8794,2301,0.7034799274074044,0.7061123404883834,0.002632413080979057,0.7114421007318122,0.7127421437795954,0.0013000430477831948
8795,2300,0.7121375432999804,0.7118527754028439,-0.0002847678971364953,0.717391304347826,0.7156521739130435,-0.0017391304347825765
8796,2299,0.7023951740257728,0.7025311047794878,0.00013593075371498564,0.7050724637681158,0.7055072463768116,0.0004347826086957829
8797,2299,0.7552709110057718,0.7531803590813364,-0.002090551924435413,0.7598945981554678,0.758594642072903,-0.0012999560825648349
8798,2300,0.7322044612610364,0.7287479070125135,-0.0034565542485229805,0.7434782608695651,0.7391304347826086,-0.004347826086956497
8799,2302,0.7416965164055753,0.7323934178005438,-0.009303098605031535,0.747306052855925,0.7381841432225065,-0.009121909633418523
8800,2298,0.7228981555893006,0.7330200310654521,0.01012187547615151,0.7275244010647739,0.7362377994676131,0.008713398402839245
8801,2300,0.7309910619746202,0.7334826194328948,0.0024915574582746736,0.7339130434782608,0.7356521739130434,0.0017391304347825765
8802,2298,0.7277132581186936,0.7253248459444471,-0.002388412174246457,0.7315705412599823,0.7289529724933452,-0.0026175687666371017
8803,2302,0.6977528273253707,0.7009546155354294,0.003201788210058676,0.7047058823529412,0.7072804774083548,0.0025745950554135755
8804,2301,0.7462144292238445,0.7485338976159769,0.0023194683921323733,0.7505897546276367,0.751881188118812,0.0012914334911753311
8805,2303,0.7549087824406273,0.7589627069435168,0.004053924502889439,0.7587167581257914,0.7621570282819754,0.0034402701561839777
8806,2299,0.7422951852965782,0.736589064867168,-0.005706120429410211,0.7481598594642074,0.7416337285902503,-0.006526130873957037
8807,2299,0.6952027389904978,0.6991881235646547,0.003985384574156869,0.7076811594202899,0.7098550724637682,0.0021739130434783593
8808,2299,0.7454915075468271,0.7408551917933301,-0.004636315753496989,0.7490118577075099,0.7442292490118577,-0.0047826086956521685
8809,2302,0.7304231957473606,0.7265932725406393,-0.003829923206721264,0.7376129582267688,0.732387041773231,-0.00522591645353776
8810,2299,0.729795214219446,0.7377857490546388,0.007990534835192742,0.7351119894598156,0.7425164690382082,0.007404479578392631
8811,2298,0.7679896839033352,0.7688609913064731,0.0008713074031378998,0.7697160603371782,0.7697071872227153,-8.873114462959464e-06
8812,2301,0.7304469462203091,0.7324971629575238,0.0020502167372146163,0.734059405940594,0.7357942315970726,0.0017348256564785336
8813,2302,0.746812331386819,0.7569633874090499,0.010151056022230875,0.7502387041773232,0.758917306052856,0.008678601875532821
8814,2299,0.7217815122580163,0.7296010483025867,0.007819536044570308,0.7316512955643389,0.7377294685990338,0.006078173034694823
8815,2303,0.7466094768272066,0.7476970565170558,0.001087579689849183,0.7505825242718447,0.7518488813845505,0.0012663571127058404
8816,2300,0.6940965077160366,0.6947674981508146,0.0006709904347780293,0.7000000000000002,0.7000000000000001,-1.1102230246251565e-16
8817,2301,0.7129405039254756,0.7218683385073553,0.008927834581879734,0.7205940594059407,0.7288420146362463,0.008247955230305637
8818,2299,0.7306644475060576,0.7327743207256366,0.002109873219579006,0.7363855950812473,0.7363899868247696,4.391743522291769e-06
8819,2301,0.7013403886881137,0.7094168893477565,0.008076500659642827,0.7097675419715885,0.7167068445975033,0.0069393026259148005
8820,2301,0.7350564173070235,0.7445580235409648,0.009501606233941251,0.739272492466638,0.7483986224709428,0.009126130004304844
8821,2300,0.7416647531264114,0.7401196033163804,-0.0015451498100310657,0.75,0.7478260869565218,-0.0021739130434782483
8822,2300,0.7295505013206067,0.7330575605750004,0.003507059254393652,0.7347826086956524,0.7378260869565217,0.00304347826086937
8823,2299,0.7155286692301073,0.7142051430559065,-0.0013235261742007287,0.7203557312252964,0.7181818181818183,-0.0021739130434781373
8824,2301,0.7118270312298409,0.7173835975693951,0.005556566339554148,0.720572535514421,0.7253465346534653,0.004773999139044305
8825,2299,0.7403502350877207,0.7349584331612427,-0.005391801926478035,0.7451910408432149,0.7395388669301712,-0.005652173913043623
8826,2302,0.7396145831243469,0.7355891948837017,-0.004025388240645245,0.7446717817561807,0.740306905370844,-0.004364876385336669
8827,2300,0.7653720078221243,0.7645180863692446,-0.000853921452879769,0.7682608695652173,0.7673913043478262,-0.0008695652173911217
8828,2299,0.7292007634550363,0.7289781303757054,-0.00022263307933090282,0.7368862538427755,0.736455862977602,-0.0004303908651734911
8829,2296,0.7523165453291641,0.7548224662706601,0.0025059209414959316,0.7557246376811595,0.7570289855072462,0.0013043478260866825
8830,2300,0.7320379398750269,0.7322464741623012,0.0002085342872742979,0.7382608695652174,0.7378260869565217,-0.00043478260869567187
8831,2300,0.7070349532414292,0.7176855727283984,0.010650619486969215,0.717391304347826,0.7265217391304347,0.009130434782608665
8832,2301,0.730688016518101,0.7332006187525634,0.002512602234462369,0.7336547567800258,0.734946190271201,0.00129143349117522
8833,2298,0.7493383382651027,0.7452377745149282,-0.004100563750174424,0.7542324755989351,0.749449866903283,-0.0047826086956521685
8834,2300,0.7571625098827792,0.7625099931925099,0.005347483309730672,0.7604347826086958,0.7647826086956522,0.004347826086956386
8835,2300,0.7585762630840484,0.7549904843322178,-0.003585778751830526,0.7643478260869564,0.7617391304347827,-0.002608695652173698
8836,2300,0.722939414035808,0.7224125880998512,-0.0005268259359567651,0.7317391304347826,0.7304347826086957,-0.0013043478260869046
8837,2300,0.7493273323158998,0.7492550788710237,-7.225344487604701e-05,0.7539130434782608,0.7534782608695652,-0.00043478260869567187
8838,2302,0.7485831191912206,0.7517487181298919,0.003165598938671299,0.7512020460358054,0.7542284739982948,0.0030264279624894197
8839,2300,0.7463740175990271,0.7480337225677198,0.0016597049686927212,0.7504347826086957,0.751304347826087,0.0008695652173913437
8840,2299,0.7523577164848687,0.7523475903188891,-1.0126165979618129e-05,0.7559552042160738,0.7568203776899429,0.000865173473869163
8841,2299,0.7067447817386305,0.7100701671716776,0.0033253854330470567,0.7142160737812911,0.7172595520421607,0.003043478260869592
8842,2300,0.7318515552270329,0.7327130019968165,0.0008614467697836137,0.737391304347826,0.7382608695652173,0.0008695652173913437
8843,2301,0.723856569322859,0.7315802789327315,0.007723709609872453,0.7292423590185105,0.7357597933706412,0.006517434352130702
8844,2301,0.7678066472873474,0.7723905207391716,0.004583873451824205,0.767094274644856,0.7718725785622041,0.004778303917348126
8845,2300,0.7509746708478934,0.7531225728672465,0.0021479020193531095,0.753913043478261,0.7569565217391303,0.003043478260869259
8846,2297,0.7503592890007339,0.7519305284583501,0.0015712394576161692,0.755342895562528,0.7558045719408336,0.000461676378305631
8847,2303,0.7515552021349529,0.7529767375134082,0.001421535378455352,0.7560574081891093,0.757298438159561,0.0012410299704517236
8848,2301,0.7237307075137972,0.733086903112978,0.009356195599180772,0.7323504089539389,0.7401635815755488,0.007813172621609965
8849,2302,0.7112828876990099,0.7121814757388134,0.0008985880398034718,0.7185848252344416,0.7198635976129583,0.0012787723785167016
8850,2303,0.7187343946111469,0.7169616969466807,-0.001772697664466194,0.7244195863233432,0.7217855635289152,-0.002634022794428037
8851,2300,0.7481811022035704,0.7456385828172344,-0.002542519386335984,0.7530434782608696,0.7504347826086957,-0.00260869565217392
8852,2301,0.6950139786605452,0.6980372861783705,0.0030233075178253133,0.7006112785191563,0.7023504089539389,0.0017391304347825765
8853,2300,0.7169865575414561,0.7186516312905206,0.0016650737490644385,0.7217391304347827,0.7234782608695651,0.0017391304347824654
8854,2300,0.7329536894341091,0.7405533990715966,0.007599709637487462,0.7417391304347827,0.7482608695652174,0.006521739130434745
8855,2301,0.7403654939851433,0.7429298561601485,0.0025643621750052192,0.7475419715884631,0.7501334481274214,0.002591476538958304
8856,2301,0.7541827141622097,0.7510553792348112,-0.003127334927398473,0.757081360309944,0.7540378820490744,-0.003043478260869592
8857,2299,0.7785038797430235,0.7798009311852452,0.0012970514422216972,0.784655248133509,0.7850944224857268,0.0004391743522178526
8858,2299,0.7656423070730497,0.7660952614404929,0.0004529543674431924,0.7694729907773387,0.7694729907773386,-1.1102230246251565e-16
8859,2303,0.7530887102279016,0.7526799165018307,-0.000408793726070833,0.7584592655128747,0.7575263824398482,-0.0009328830730265247
8860,2300,0.7478349757903662,0.748804512717102,0.0009695369267358478,0.7504347826086957,0.7504347826086957,0.0
8861,2299,0.7434865605072033,0.7432386423439384,-0.0002479181632648597,0.7486078173034695,0.748620992534036,1.317523056654224e-05
8862,2299,0.7546486321647806,0.7512504147094028,-0.0033982174553778277,0.7581906016688624,0.7529688186209924,-0.005221783047870021
8863,2300,0.7603034578626044,0.7618643387113141,0.0015608808487096448,0.7643478260869564,0.7652173913043478,0.0008695652173914548
8864,2302,0.7690594790393636,0.770356301061558,0.0012968220221943882,0.7707502131287297,0.7724808184143221,0.0017306052855924348
8865,2298,0.7371194074583522,0.7354187999756697,-0.0017006074826825257,0.7419875776397515,0.7389440993788818,-0.003043478260869703
8866,2301,0.7166452830695904,0.7174415457195656,0.0007962626499752323,0.7249117520447698,0.7244640551011622,-0.0004476969436075784
8867,2298,0.7510734752995222,0.7451379358680639,-0.005935539431458303,0.7550133096716947,0.7476042590949423,-0.007409050576752341
8868,2300,0.7190438657723439,0.7226612757110789,0.003617409938734939,0.7256521739130434,0.7282608695652175,0.0026086956521741422
8869,2300,0.7286159150526423,0.7285537589893013,-6.215606334103452e-05,0.7326086956521738,0.7317391304347826,-0.0008695652173912327
8870,2301,0.7713728235616821,0.7860702902989066,0.014697466737224496,0.7749160568230736,0.7883770985794231,0.013461041756349434
8871,2302,0.758329822780247,0.7620317543570074,0.0037019315767604644,0.7612020460358057,0.7633589087809037,0.002156862745098076
8872,2299,0.7464674034131094,0.7471789274714559,0.0007115240583465132,0.7507246376811595,0.7511594202898549,0.0004347826086954498
8873,2301,0.7447470071196725,0.7449267425549222,0.00017973543524973934,0.7449246663796815,0.7453422298751614,0.00041756349547994454
8874,2303,0.7358858024413779,0.7354216533764221,-0.0004641490649558433,0.7409666525960319,0.739636977627691,-0.0013296749683409104
8875,2300,0.7488935989791673,0.7545062472393533,0.005612648260186037,0.7508695652173915,0.7552173913043477,0.004347826086956275
8876,2297,0.7331701898906348,0.7333747991760171,0.00020460928538235112,0.7349484536082472,0.734540564769162,-0.00040788883908526863
8877,2299,0.7154985659255196,0.7120208496030231,-0.0034777163224964935,0.7281510759771631,0.7246684233640756,-0.0034826526130875557
8878,2302,0.7354480473777784,0.7356708200114541,0.00022277263367576072,0.7407928388746804,0.7407757885763001,-1.705029838028338e-05
8879,2297,0.7337937798212771,0.7363149688757619,0.0025211890544847293,0.7385208426714477,0.7415912147019271,0.00307037203047944
8880,2303,0.7102265916702953,0.7064187969437951,-0.00380779472650028,0.7183579569438582,0.7135500211059519,-0.004807935837906285
8881,2302,0.7364020922359732,0.7426849881362962,0.006282895900323049,0.7416368286445013,0.7476896845694803,0.00605285592497895
8882,2299,0.756947811228169,0.7583811633044324,0.0014333520762633833,0.7612428634167764,0.7629776021080368,0.0017347386912603957
8883,2300,0.7237290628603704,0.7258284582720356,0.0020993954116651503,0.7291304347826089,0.7304347826086955,0.0013043478260866825
8884,2298,0.7462711262011253,0.7477758853985823,0.0015047591974569619,0.750346051464064,0.7507719609582963,0.00042590949423237934
8885,2299,0.7233782767424783,0.7213272297427844,-0.0020510469996939396,0.732981993851559,0.7299429073342117,-0.0030390865173473003
8886,2300,0.7113878421396195,0.7113746287263677,-1.321341325177805e-05,0.7169565217391305,0.7165217391304349,-0.00043478260869556085
8887,2303,0.7366059265249723,0.7391805956131084,0.0025746690881361944,0.7383199662304769,0.7404558885605741,0.002135922330097184
8888,2299,0.6953707610486232,0.701511275850384,0.00614051480176081,0.7081379007465965,0.7120553359683796,0.0039174352217830055
8889,2300,0.7567304490479586,0.7566161819664394,-0.00011426708151918152,0.7621739130434781,0.761304347826087,-0.0008695652173911217
8890,2297,0.7422897168043753,0.7492660084051781,0.00697629160080282,0.747965038099507,0.7536172120125504,0.005652173913043401
8891,2299,0.7403725204096396,0.7281532948794781,-0.012219225530161526,0.7429380764163372,0.7320597277119016,-0.010878348704435603
8892,2299,0.7509587589747383,0.7585452256971672,0.007586466722428908,0.7564119455423804,0.762933684672815,0.006521739130434523
8893,2300,0.7293148356637493,0.7398863324547754,0.010571496791026092,0.7352173913043477,0.7443478260869566,0.009130434782608887
8894,2301,0.7085788208976743,0.7147612518130864,0.0061824309154120405,0.715781317262161,0.7214162720619888,0.005634954799827785
8895,2299,0.743533591095024,0.7442970665810533,0.0007634754860292858,0.7499297321036452,0.7503645147123408,0.00043478260869556085
8896,2299,0.7350717278478093,0.7359648558714594,0.0008931280236501582,0.7390733421168203,0.7395169082125603,0.00044356609574003336
8897,2301,0.7121997606067264,0.7128547558679379,0.0006549952612114884,0.7170899698665517,0.7175204476969437,0.0004304778303919621
8898,2301,0.6953934313432861,0.6990834464080792,0.0036900150647930507,0.7062290142057684,0.7092767972449419,0.003047783039173413
8899,2300,0.7477707066475979,0.7519750457370655,0.004204339089467601,0.7521739130434782,0.7556521739130434,0.003478260869565153
8900,2298,0.7359990893636339,0.7310911830072024,-0.004907906356431457,0.7428216503992902,0.7380479148181012,-0.004773735581188987
8901,2300,0.704900512814256,0.7096587454077496,0.0047582325934936165,0.7134782608695652,0.7165217391304348,0.003043478260869592
8902,2299,0.7395471092830996,0.7362600577473251,-0.0032870515357745766,0.7412121212121213,0.7372990777338605,-0.003913043478260825
8903,2300,0.7215921333962562,0.7284396974718841,0.006847564075627921,0.7278260869565218,0.7326086956521738,0.0047826086956519465
8904,2300,0.7261986453384376,0.7257374572966858,-0.00046118804175176997,0.7321739130434782,0.731304347826087,-0.0008695652173912327
8905,2301,0.7053247075509479,0.7088161468667667,0.003491439315818856,0.7101721911321567,0.7136504520017222,0.003478260869565486
8906,2303,0.7099868860481614,0.7162349369687374,0.006248050920576009,0.7192655128746306,0.7248543689320388,0.00558885605740822
8907,2302,0.7538847293604319,0.7441756278153736,-0.00970910154505833,0.754219948849105,0.7446547314578006,-0.009565217391304448
8908,2299,0.7246907319208649,0.7215861638692332,-0.0031045680516316176,0.7329073342116822,0.7294334650856389,-0.0034738691260433052
8909,2298,0.7505431250139604,0.7549525763354978,0.004409451321537472,0.7529281277728481,0.7568589174800355,0.00393078970718741
8910,2299,0.7057768251792637,0.7041853705793508,-0.0015914545999128338,0.7133904259991217,0.7094685990338165,-0.003921826965305186
8911,2299,0.7297978270817252,0.7378095930910098,0.008011766009284549,0.7320641194554238,0.7394642072902942,0.007400087834870339
