row_index,relative_path,category,garment_id,rotation_deg,shell_index,reference_R2,rotated_R2,shell_mass_fraction,E_abs,E_rel,E_sym,R2_stratum
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,11,0.41860759256396596,0.42510666400057506,0.013473864995553012,0.006499071436609105,0.01552545045062938,0.015405859000349723,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,12,0.35443534617998185,0.3684659279620169,0.0131569531481614,0.014030581782035034,0.03958572962108108,0.038817421642222814,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,13,0.3890675540054867,0.39287770581657067,0.015221991637616413,0.0038101518110839616,0.009793034067883826,0.00974531596227341,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,14,0.10214683154126378,0.08670883317820235,0.023931955959476177,0.015437998363061423,0.1511353620090018,0.16348991581474298,"[0.10,0.20)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,15,0.07450705442440048,0.06514707059478213,0.030091291057974423,0.009359983829618349,0.1256254713319203,0.13404521818933282,"[0.05,0.10)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,16,0.0739436489508728,0.04953526026576191,0.02991238920864045,0.024408388685110888,0.3300944574878568,0.3953450648367513,"[0.05,0.10)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,17,0.15542640597542928,0.17080822269598994,0.02812337071530071,0.01538181672056066,0.09896527314021729,0.09429910480811095,"[0.10,0.20)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,18,0.21484711956929106,0.1762955583806036,0.041132090902585385,0.038551561188687467,0.17943717963718883,0.19712275526029874,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,19,0.07443027764601468,0.09072626879243742,0.04127521238205257,0.016295991146422745,0.21894303852963395,0.19733993593158203,"[0.05,0.10)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,20,0.2957449617591653,0.32015957054724353,0.04664737934348133,0.024414608788078218,0.08255291533236608,0.07928049724411541,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,21,0.46963194031200134,0.4663518758342608,0.06177225283431644,0.0032800644777405408,0.006984330059751516,0.007008805966850135,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,22,0.5463850089372566,0.5490958227768041,0.06725176090534558,0.002710813839547521,0.0049613620344748765,0.004949084933427827,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,23,0.47160528449882316,0.4443721611772187,0.0508796859505822,0.027233123321604435,0.05774558559186881,0.059462432072232715,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,24,0.31749873516110394,0.31763586689219797,0.04151545200830105,0.0001371317310940312,0.00043191268470549457,0.00043181943056071377,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,25,0.24410041252640183,0.2336609143519391,0.039634426849589545,0.010439498174462741,0.0427672287253247,0.043701729659341375,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,26,0.1827698000729547,0.18832419152934213,0.033699996933111154,0.00555439145638742,0.03039009428346652,0.029935227096536163,"[0.10,0.20)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-15.0,27,0.09972723653689057,0.052804820490484156,0.025506292233615148,0.046922416046406415,0.4705075331055536,0.615246617148621,"[0.05,0.10)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,15.0,3,0.20548131571553915,0.21647576201090277,0.012809372412312536,0.010994446295363614,0.053505820016180566,0.052111680906518174,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,15.0,4,0.35262917308647496,0.3258818454906117,0.01097946206769646,0.026747327595863235,0.07585114799706039,0.07884124756575175,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,15.0,5,0.4922783279201662,0.5213133108678122,0.011270816508040361,0.029034982947646004,0.058980827107129256,0.057291283464739585,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,15.0,6,0.545466929353268,0.5523843334058636,0.012149991310481605,0.006917404052595555,0.012681619508623856,0.01260171443481453,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,15.0,7,0.5067487875244469,0.502785566709207,0.012139768347662519,0.00396322081523981,0.007820878732834883,0.007851581867658827,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,15.0,8,0.46900142249982313,0.4852971378464044,0.012027315756652593,0.016295715346581252,0.03474555633482625,0.03415223709583934,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,15.0,9,0.48248195474441985,0.4597419837444282,0.013632320919248818,0.022739970999991643,0.04713123625947307,0.04826871844598287,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,15.0,10,0.413966764231043,0.4317941297317306,0.01272247722835032,0.017827365500687586,0.04306472654586778,0.042156986987559306,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,15.0,11,0.41860759256396596,0.43592950172123096,0.013473864995553012,0.017321909157265003,0.041379825557316195,0.04054103507760405,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,15.0,12,0.35443534617998185,0.3641644993882327,0.0131569531481614,0.009729153208250851,0.027449726200022947,0.027078083214887895,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,15.0,13,0.3890675540054867,0.3858346383206244,0.015221991637616413,0.003232915684862281,0.008309394221078351,0.008344061268320003,"[0.20,0.40)"
