bootstrap,hog_macro_f1,hog_ra14_macro_f1,delta_macro_f1,hog_balanced_accuracy,hog_ra14_balanced_accuracy,delta_balanced_accuracy
2669,0.6275367623829136,0.6268563662031851,-0.0006803961797284819,0.6346845868534574,0.6338394899214039,-0.0008450969320534796
2670,0.6193724026841504,0.6213173661613415,0.0019449634771910862,0.637746897743768,0.6391994945927842,0.0014525968490162189
2671,0.6382319342847379,0.6367016072853648,-0.001530326999373055,0.6457178101852863,0.6441616972161298,-0.0015561129691564757
2672,0.6347389281686863,0.6331599042383045,-0.0015790239303817843,0.6499271343493328,0.6489883991714673,-0.0009387351778654685
2673,0.6505158357922864,0.6487150887955287,-0.0018007469967576961,0.6586069402137456,0.6566225477945704,-0.0019843924191751405
2674,0.62250515088629,0.6234856365656747,0.0009804856793846906,0.6455740954824352,0.646830134129778,0.0012560386473428053
2675,0.6572677737700459,0.6558412399564574,-0.001426533813588482,0.673686584605557,0.6721055569375728,-0.0015810276679841806
2676,0.6248990438492087,0.6256516539345927,0.0007526100853839646,0.6548479643876063,0.6555494368282093,0.0007014724406030348
2677,0.6379166440918677,0.6360919550319235,-0.0018246890599441512,0.6479364693777347,0.6455257158800247,-0.0024107534977100276
2678,0.6309114766156985,0.6300268930320356,-0.0008845835836628346,0.6413871568089757,0.6403594888247861,-0.0010276679841896286
