permutation,delta_macro_f1,delta_balanced_accuracy,self_mapped_rows
625,0.03576134106978712,0.035845410628019325,20
626,0.05378284910889214,0.05260869565217391,20
627,0.03297462474744278,0.030917874396135192,20
628,0.04156412834527862,0.04077294685990335,20
629,0.030003431271854286,0.02753623188405796,20
630,0.03908201896362479,0.038550724637681166,20
631,0.03204897987787764,0.03125603864734294,20
632,0.05263918437261622,0.051594202898550656,20
633,0.026902983201692987,0.026618357487922628,20
634,0.03344589011481269,0.03318840579710142,20
635,0.04303116329744,0.04289855072463761,20
636,0.03419822173637588,0.03637681159420281,20
637,0.04073966867743822,0.04115942028985503,20
638,0.04569754972318951,0.04468599033816428,20
639,0.0378347192717407,0.03700483091787432,20
640,0.032525122996233835,0.03101449275362317,20
641,0.03623808758885011,0.03584541062801927,20
642,0.0469500607807532,0.04483091787439614,20
643,0.04181391681878549,0.0400966183574879,20
644,0.04876926182343805,0.048405797101449266,20
645,0.03338976439100583,0.03260869565217389,20
646,0.03647809712627248,0.038067632850241506,20
647,0.042274518664320304,0.041207729468599075,20
648,0.03441746160348791,0.03231884057971013,20
649,0.05415503374001701,0.05270531400966183,20
650,0.04119142492223471,0.040386473429951664,20
651,0.036330178956087034,0.03516908212560382,20
652,0.042723086796709886,0.04217391304347817,20
653,0.04047529722789134,0.04028985507246374,20
654,0.04250821970373181,0.04053140096618357,20
655,0.04547882918106372,0.04507246376811597,20
656,0.040718054987058994,0.039613526570048296,20
657,0.03434766631912395,0.03338164251207726,20
658,0.04151719040177576,0.038840579710144874,20
659,0.040031535344231206,0.04077294685990335,20
660,0.048386155216409765,0.04792270531400966,20
661,0.04440239454259748,0.04584541062801922,20
662,0.03982719085596231,0.03975845410628015,20
663,0.041826285512950534,0.040048309178744024,20
664,0.037425077667116946,0.03690821256038651,20
665,0.04424383618983857,0.044299516908212544,20
666,0.038759002467639914,0.03647342995169073,20
667,0.043786632053691654,0.043091787439613505,20
668,0.043770950580841406,0.040724637681159415,20
669,0.04397841726187984,0.043429951690821256,20
670,0.03192440472372182,0.03285024154589372,20
671,0.04227229508341657,0.04120772946859902,20
672,0.03813995035869144,0.037874396135265664,20
673,0.04420395856991072,0.04468599033816417,20
674,0.04529189401270023,0.0444444444444444,20
675,0.03426253894552056,0.03323671497584535,20
676,0.02543563993608655,0.025845410628019205,20
677,0.03928615489519022,0.0385990338164251,20
678,0.04854160254871631,0.047004830917874385,20
679,0.03653943952019734,0.03613526570048309,20
680,0.040013775561980436,0.0385990338164251,20
681,0.049851063016993546,0.04739130434782607,20
682,0.04153690327489579,0.04057971014492756,20
683,0.05141639002231546,0.05135265700483088,20
684,0.03461214626197762,0.03550724637681146,20
685,0.05060134749003653,0.05038647342995173,20
686,0.04376305874274172,0.04338164251207732,20
687,0.05104816608635243,0.050772946859903356,20
688,0.0524971686263776,0.05193236714975835,20
689,0.04349225054411232,0.0434299516908212,20
690,0.03628790102334989,0.03603864734299517,20
691,0.042030916226104054,0.04086956521739121,20
692,0.042963567933863134,0.04178743961352649,20
693,0.050598293559259155,0.05106280193236712,20
694,0.030615395944062873,0.02975845410628014,20
695,0.039484056820863034,0.03801932367149752,20
696,0.053299187956077965,0.053285024154589355,20
697,0.043405095326335574,0.04193236714975834,20
698,0.055347841055708225,0.05371980676328503,20
699,0.042495003883961546,0.04198067632850233,20
700,0.03848905994553398,0.03666666666666657,20
701,0.04664645429454223,0.0449758454106281,20
702,0.04918090144580434,0.04975845410628016,20
703,0.02940425634317123,0.028647342995169023,20
704,0.04855209815113787,0.047971014492753594,20
705,0.03422900575087867,0.03444444444444439,20
706,0.05966119230550637,0.05748792270531394,20
707,0.045553508600396475,0.04391304347826086,20
708,0.03447824497187568,0.032898550724637654,20
709,0.03530237828011418,0.03367149758454108,20
710,0.03133008746132854,0.032270531400966196,20
711,0.03964081036710565,0.03850241545893718,20
712,0.03385327205100791,0.03328502415458928,20
713,0.03417202623891047,0.03434782608695647,20
714,0.035905136398225124,0.034685990338164274,20
715,0.04363197112234046,0.04217391304347823,20
716,0.03592880723150982,0.036038647342995056,20
717,0.03228836978264543,0.030724637681159406,20
718,0.043463808826717076,0.04463768115942024,20
719,0.03582449749754951,0.03386473429951692,20
720,0.043504613793533986,0.04164251207729469,20
721,0.037732005570432214,0.03772946859903381,20
722,0.03990953516297774,0.03835748792270527,20
723,0.04002267000237941,0.03937198067632841,20
724,0.03877426261937583,0.03801932367149752,20
725,0.04735544670075287,0.04739130434782607,20
726,0.03091129796787845,0.031594202898550694,20
727,0.03945069917558258,0.038502415458937234,20
728,0.05570391583374629,0.05623188405797097,20
729,0.03445601136836979,0.03425120772946855,20
730,0.0379696630681019,0.03840579710144931,20
731,0.04978099817451698,0.04999999999999993,20
732,0.042912500819691946,0.04198067632850233,20
733,0.024770819214963935,0.02386473429951691,20
734,0.04848050439151963,0.048405797101449266,20
735,0.04299032671914965,0.0419323671497584,20
736,0.05760664048934905,0.0557971014492753,20
737,0.04643591384910489,0.044299516908212544,20
738,0.0465546316735827,0.04497584541062799,20
739,0.05708175417836853,0.054782608695652046,20
740,0.03398524429381411,0.03294685990338159,20
741,0.04878352158532523,0.04787439613526573,20
742,0.045880432521430536,0.043091787439613505,20
743,0.04634770788656323,0.04541062801932366,20
744,0.047447944675753306,0.0451207729468599,20
745,0.04424418339233238,0.04463768115942024,20
746,0.03502831943468376,0.03246376811594209,20
747,0.04003641377595474,0.03888888888888886,20
748,0.03211241910942386,0.03178743961352648,20
749,0.023235679582722824,0.02207729468599029,20
750,0.04410087063392404,0.043188405797101426,20
751,0.04369644360318237,0.04082125603864728,20
